Sort order,Dog_Name,Dog_Breed,Location_masked,Latitude_masked,Latitude_masked,Longitude_masked,Neighborhood,
3455,Moses,Labrador Retriever,"(42.3970832, -71.13530121)","42.3970832,",42.3970832,-71.13530121,North Cambridge,
1325,Ruby,Wheaten Terrier,"(42.3968674, -71.12956598)","42.3968674,",42.3968674,-71.12956598,North Cambridge,
4666,Yoda,French Bulldog,"(42.3968289, -71.14688884)","42.3968289,",42.3968289,-71.14688884,North Cambridge,
2615,Krumpet,Yorkie Poo,"(42.3966562, -71.1284632)","42.3966562,",42.3966562,-71.1284632,North Cambridge,
3398,Rugby,Morkie,"(42.3963202, -71.14797748)","42.3963202,",42.3963202,-71.14797748,North Cambridge,
3030,Taco,Cocker Spaniel,"(42.3962881, -71.12543277)","42.3962881,",42.3962881,-71.12543277,North Cambridge,
3970,Dwight,Yorksire Terrier,"(42.3962259, -71.1334016)","42.3962259,",42.3962259,-71.1334016,North Cambridge,
223,Knicholys,Boxer,"(42.3961867, -71.13068167)","42.3961867,",42.3961867,-71.13068167,North Cambridge,
4283,Hubert Peters,Aus Cattle Dog,"(42.3961137, -71.14326676)","42.3961137,",42.3961137,-71.14326676,North Cambridge,
3743,Mohican Madison,Greyhound,"(42.3960144, -71.13510536)","42.3960144,",42.3960144,-71.13510536,North Cambridge,
1422,Porkchop,French Bulldog,"(42.3959715, -71.14818731)","42.3959715,",42.3959715,-71.14818731,North Cambridge,
1922,C.J.,Doberman,"(42.3956552, -71.13062807)","42.3956552,",42.3956552,-71.13062807,North Cambridge,
803,Lexington,Poodle,"(42.3956281, -71.13354809)","42.3956281,",42.3956281,-71.13354809,North Cambridge,
4965,Nico,Pointer,"(42.3952636, -71.1234743)","42.3952636,",42.3952636,-71.1234743,NA,
4890,Luka,Yorkshire Terrier,"(42.3952631, -71.12011126)","42.3952631,",42.3952631,-71.12011126,NA,
3805,Vinnie,Border Collie,"(42.3952613, -71.13047187)","42.3952613,",42.3952613,-71.13047187,North Cambridge,
4109,Pink,Teacup Chihuahua,"(42.3951997, -71.14566435)","42.3951997,",42.3951997,-71.14566435,North Cambridge,
3283,Ava Maria,Redbone Coonhound,"(42.3950903, -71.14565748)","42.3950903,",42.3950903,-71.14565748,North Cambridge,
1604,Tak Tak,Border Collie,"(42.3950707, -71.13489254)","42.3950707,",42.3950707,-71.13489254,North Cambridge,
1191,Navi,Cockapoo,"(42.3948747, -71.12806741)","42.3948747,",42.3948747,-71.12806741,North Cambridge,
3776,Fenway,Labrador Retriever,"(42.3948582, -71.15460574)","42.3948582,",42.3948582,-71.15460574,Cambridge Highlands,
490,Kai,Min Poodle,"(42.3941598, -71.14825125)","42.3941598,",42.3941598,-71.14825125,North Cambridge,
3846,Koda,Chihuahua Mix,"(42.3939849, -71.1316632)","42.3939849,",42.3939849,-71.1316632,North Cambridge,
2781,Pork Chop,Mixed,"(42.3939519, -71.14678395)","42.3939519,",42.3939519,-71.14678395,Cambridge Highlands,
4820,Kepler,LAB MIX,"(42.3938174, -71.14622106)","42.3938174,",42.3938174,-71.14622106,Cambridge Highlands,
729,Nella,Lab Ret Mix,"(42.3937594, -71.14644308)","42.3937594,",42.3937594,-71.14644308,Cambridge Highlands,
1143,Stamford,Yorksire Terrier,"(42.3937355, -71.14564363)","42.3937355,",42.3937355,-71.14564363,Cambridge Highlands,
3693,Abby,Shepherd Mix,"(42.3935062, -71.14721564)","42.3935062,",42.3935062,-71.14721564,North Cambridge,
4134,Luigi,Lagotto Romagnolo,"(42.3933796, -71.1476384)","42.3933796,",42.3933796,-71.1476384,North Cambridge,
3126,Olive,Miniature Dachshund,"(42.3933711, -71.14697474)","42.3933711,",42.3933711,-71.14697474,Cambridge Highlands,
4127,Moxie,West Highland White Terrier,"(42.3933489, -71.13501637)","42.3933489,",42.3933489,-71.13501637,North Cambridge,
3266,Lulu,Yorkie Poo,"(42.3933417, -71.13323714)","42.3933417,",42.3933417,-71.13323714,North Cambridge,
1648,Lilo,Schnauzer,"(42.3933196, -71.14761566)","42.3933196,",42.3933196,-71.14761566,North Cambridge,
2122,Lilly,Mix,"(42.3932466, -71.12300895)","42.3932466,",42.3932466,-71.12300895,North Cambridge,
1582,Lilo,Minature Schnauzer,"(42.3931817, -71.14731619)","42.3931817,",42.3931817,-71.14731619,North Cambridge,
4702,Zeek,Rat Terrier Mix,"(42.3931266, -71.13522253)","42.3931266,",42.3931266,-71.13522253,North Cambridge,
3343,Bella,West Highland White Terrier,"(42.3927632, -71.14221076)","42.3927632,",42.3927632,-71.14221076,North Cambridge,
1754,Jack,Border Collie Mix,"(42.3925756, -71.13637502)","42.3925756,",42.3925756,-71.13637502,North Cambridge,
3617,Goliath,Poodle,"(42.3925035, -71.15456407)","42.3925035,",42.3925035,-71.15456407,Cambridge Highlands,
4942,Zilla,Dachshund,"(42.3924177, -71.12704888)","42.3924177,",42.3924177,-71.12704888,North Cambridge,
3816,Tuck,Catahoula,"(42.3922818, -71.12422074)","42.3922818,",42.3922818,-71.12422074,North Cambridge,
3806,Phryne,Pembroke Welsh Corgi,"(42.3922515, -71.13861088)","42.3922515,",42.3922515,-71.13861088,Neighborhood Nine,
2060,Shuba,German Shepherd,"(42.3922482, -71.1320246)","42.3922482,",42.3922482,-71.1320246,North Cambridge,
2206,Nishoko,Mix,"(42.3921263, -71.13361557)","42.3921263,",42.3921263,-71.13361557,Neighborhood Nine,
4155,Tobias,Miniature Poodle,"(42.3918786, -71.1195689)","42.3918786,",42.3918786,-71.1195689,North Cambridge,
685,Frannie,Chihuahua Mix,"(42.3916502, -71.14472359)","42.3916502,",42.3916502,-71.14472359,Cambridge Highlands,
4131,Irving,Labrador Retriever,"(42.3915651, -71.15770964)","42.3915651,",42.3915651,-71.15770964,Cambridge Highlands,
1789,Seamus,Low Chen,"(42.3914455, -71.13530328)","42.3914455,",42.3914455,-71.13530328,North Cambridge,
4844,Penny,Goldendoodle,"(42.3912939, -71.14962772)","42.3912939,",42.3912939,-71.14962772,Cambridge Highlands,
2610,Reggie,Beagle,"(42.3910859, -71.14709351)","42.3910859,",42.3910859,-71.14709351,Cambridge Highlands,
3710,Oreo,Boston Terr,"(42.3908973, -71.15582398)","42.3908973,",42.3908973,-71.15582398,Cambridge Highlands,
3146,Bow,Poodle,"(42.3907723, -71.12196488)","42.3907723,",42.3907723,-71.12196488,North Cambridge,
904,Josephine,Bulldog,"(42.3906548, -71.12580452)","42.3906548,",42.3906548,-71.12580452,North Cambridge,
4927,Daisy,Chihuahua,"(42.3904687, -71.13074836)","42.3904687,",42.3904687,-71.13074836,Neighborhood Nine,
4445,Becky,,"(42.3903997, -71.14535972)","42.3903997,",42.3903997,-71.14535972,Cambridge Highlands,
2502,Lola,Cocker Spaniel,"(42.3903351, -71.14545375)","42.3903351,",42.3903351,-71.14545375,Cambridge Highlands,
3819,Leelu,Rhodesian Ridgeback,"(42.3898503, -71.1300656)","42.3898503,",42.3898503,-71.1300656,North Cambridge,
3418,Phoebe,Pug,"(42.3896647, -71.12241518)","42.3896647,",42.3896647,-71.12241518,Neighborhood Nine,
4237,Maple,Boxer Mix,"(42.3895014, -71.14284201)","42.3895014,",42.3895014,-71.14284201,Cambridge Highlands,
2166,Cassius,Boxer,"(42.3892605, -71.12621262)","42.3892605,",42.3892605,-71.12621262,Neighborhood Nine,
501,Oliver,Chihuahua,"(42.3891662, -71.1201023)","42.3891662,",42.3891662,-71.1201023,Neighborhood Nine,
